id	frase	0	0
1267	"Ser boazinha até com quem devia ser chata, tentar tratar todos bem."	0	2
1269	"Dois irmãos que moravam em fazendas vizinhas, separadas apenas por um riacho, entraram em conflito."	-1	3
1270	"O que começou com um pequeno mal entendido, finalmente explodiu numa troca de palavras ríspidas, seguidas por semanas de total silêncio."	-1	3
1271	"Numa manhã, o irmão mais velho ouviu baterem à sua porta."	0	3
1272	"Estou procurando trabalho, talvez você tenha algum serviço para mim."	0	3
1273	"Acho que entendo a situação, mostre-me onde estão a pá e os pregos."	0	2
1274	"O irmão mais velho entregou o material e foi para a cidade."	0	3
1275	"O homem ficou ali cortando, medindo, trabalhando o dia inteiro."	0	3
1276	"Em vez de cerca, uma ponte foi construída ali, ligando as duas margens do riacho."	0	3
1277	"Era um belo trabalho."	1	3
1278	"Ao olhar novamente para a ponte viu o seu irmão se aproximando de braços abertos."	1	3
1279	"Você realmente foi muito amigo construindo esta ponte mesmo depois do que eu lhe disse, de repente, num só impulso, o irmão mais velho correu na direção do outro e abraçaram-se"	1	3
1280	"O carpinteiro que fez o trabalho, partiu com sua caixa de ferramentas."	0	2
1281	"Já pensou como as coisas seriam mais fáceis se parássemos de construir cercas e muros e passássemos a construir pontes com nossos familiares, amigos, colegas do trabalho e principalmente nossos inimigos."	1	2
1282	"É bom demais amar, e ser amado é melhor ainda."	1	3
1283	"Eu já não sinto mais aquele amor, não sinto prazer, já não consigo mais gostar nem de mim."	-1	3
1284	"As vezes eu penso em orar em conversar com Deus."	0	2
1285	"Tenho tantos pecados que teria que nascer duas vezes para pedir perdão a Deus e me arrepender de todos eles."	-1	3
1286	"Mesmo assim continuo cometendo os mesmos erros, como se alguma coisa me puxasse, para o fundo do poço ,para um beco sem saída, sinto falta de carinho, de me arrumar, de sair ,de ter amigos pra conversar ,sinto falta de ser alguém, de ser lembrada, de ser amada, me sinto perdida."	-1	3
1287	"A beleza de uma mulher está no seu sorriso, na sua personalidade, na sua simplicidade."	1	2
1288	"A beleza de uma mulher está dentro dela."	1	2
1289	"Tenho orgulho de mim, mesmo com todos os meus defeitos, problemas e manias, sou satisfeita comigo mesma."	1	3
1290	"Sou forte, madura, e aprendo com meus erros."	1	3
1291	"Pois é, me orgulho de mim mesma, porque mesmo com todos os problemas, continuo aqui intacta."	1	3
1292	"Eu estou apaixonada pelo meu melhor amigo."	1	2
1293	"Eu só sei que agora estou melhor ,e sabe o que mais me surpreendeu, o fato de essas palavras virem dela."	1	3
1294	"Foi Deus usando a boca de uma amiga minha pra me transmitir a mensagem de que ele tem algo melhor pra mim."	1	3
1295	"Obrigada por me mostrar através da Leticia que ele não era o cara pra mim, que no futuro, algo melhor me espera."	1	3
1296	"Eu já vinha recebendo vários sinais de que não era ele, mas não tinha percebido, e só agora depois disso, parei para olhar a minha volta e vi que não é ele o meu cara."	-1	2
1297	"Encontrarei alguém que realmente me faça feliz, talvez, Deus quer que ele seja somente meu amigo, o meu melhor amigo, aquele amigo do jardim de infância, Deus tem algo melhor pra mim."	1	3
1298	"Apaixonada pelas coisas simples que o mundo oferece como a mata, a chuva, o sol, a lua, o orvalho da floresta."	1	3
1299	"Sou como o rio que corre em busca de algo, mas não sabe o que, e nem quando vai chegar."	0	3
1300	"Estou sempre disponível para ajudar meus amigos, meus verdadeiros amigos e a quem precisar."	1	3
1301	"Foi a coisa mais linda a formatura dessa minha afilhada."	1	3
1302	"Parabéns Camilly Vitória , foi pro ensino fundamental, eu te amo muito afilhada."	1	3
1303	"Quando durmo a noite sempre sonho com você, você é lindo."	1	3
1304	"Apesar da distância ainda resta uma esperança de eu poder te ver, meu amor eterno."	1	3
1305	"Mas é só você que me faz bem."	1	2
1306	"Não ligo pra esse papo, só ligo pra você."	0	2
1307	"Por favor me explique, nunca imaginei poder amar assim."	1	2
1308	"Ano passado conheci um menino fiquei com ele."	0	3
1309	"O único que sabe a resposta é ELE, portanto, reflita sobre a sua vida e peça perdão pelos seus pecados, como a Bíblia mesmo ensina não julgue o próximo, para não ser julgado."	0	2
1310	"Eu tenho alguns planos em minha mente, e tem um prazo para isso ser realizado."	0	3
1311	"Eu peço a Deus que me de paciência, porque tudo é uma fase."	0	2
1312	"Eu sou o único homem que será sempre fiel a você, aquele que jamais irá te abandonar."	1	3
1313	"Eu faço milagres, você não sabe, mas eu estou planejando o seu futuro, e os planos que tenho para você, irão te fazer muito feliz."	1	3
1314	"Eu coloquei na sua vida, para você aprender o que é amar, e saber valorizar ao verdadeiro amor, quando ele chegar."	0	2
1315	"Porque eu fiz a sua alma gêmea."	1	2
1316	"Pois é, da mesma maneira que você amou ela, eu amo, e estava precisando dela aqui no céu."	1	2
1317	"Eu fiz o mundo, eu fiz o amor."	1	3
