id	frase	0	0
1368	"Sei muito bem que vou ficar escrevendo e ele vai estar olhando, analisando o que eu tô fazendo."	0	3
1369	"Das outras vezes que eu vim escrever, era pra contar histórias engraçadas."	0	3
1370	"Mas como tudo tem seu lado positivo, eu acredito que essa experiência vai servir pros meus próximos relacionamentos."	1	2
1371	"Estou aqui postando isso, sei nem pra quer serve mas vamos lá né ."	0	2
1372	"Acordei com o Matheus me chamando , depois fiz uma coisinha minha mãe chego , vim pro computador , já fui na casa da Dani e só ."	0	3
1373	"A vida dá tantas voltas."	0	3
1374	"Hoje acordei a pensar, que ia ser só mais um dia."	0	3
1375	"Mas também tive uma alegria enorme fiz uma nova amiga, alguém que me pareceu ser muito especial e que tem muito para me ensinar."	1	3
1376	"Já estávamos namorando há 2 meses."	0	3
1377	"Era o aniversario dele, e eu queria fazer algo diferente."	0	2
1378	"Eu, uma amiga e a família dele, que família maravilhosa, todos brincalhões, unidos, amorosos."	1	3
1379	"Entre risadas, brincadeiras, estava muito legal."	1	3
1380	"Ele me levou pro quarto dele, e lá foi muito bom."	1	3
1381	"Parece que aconteceu ontem, porque consigo sentir até o cheiro dele."	1	3
1382	"Começamos com um beijo daqueles super envolvente."	1	3
1383	"Entre beijos, ele começou a me acariciar, já estava pronta pra fazer aquilo, e entre beijos me envolvi completamente."	1	3
1384	"Me acariciava com tanta vontade, com tanto tesão."	1	3
1385	"Ao me penetrar foi intenso, foi prazeroso."	1	3
1386	"Foi maravilhoso, senti a pegada dele transando, era muito mais gostoso."	1	3
1387	"Nossa união surgiu um garotinha linda que é a minha vida e tem hoje 4 aninhos,"	1	3
1388	"Não ficamos, nem sequer nos beijamos, almoçamos juntos algumas vezes nos falamos por telefone e nos correspondemos por mensagens e msn, tudo começou com uma amizade."	0	3
1389	"Passei o final de semana inteiro fazendo um vídeo para o meu namorado para esse dia fora o conjunto de roupa intima novo que eu comprei para hoje."	0	2
1390	"Às vezes tenho a sensação de que os animais são ligeiramente mais dotados de inteligência do que nós humanos."	0	2
1391	"Todos nós temos o dever de contemplar a luz que existe em cada um."	1	2
1392	"Fico feliz por isso, porque fomos feitos para brilhar."	1	3
1393	"Somos estrelas, somos nossa própria luz."	1	3
1394	"Fico pensando , como vai ser quando eu começar a fazer faculdade , me casar , ter filhos."	0	3
1395	"Mas a sensação de alguém por perto era suficiente pra mim."	1	2
1396	"Minha vida e cheia de alegrias e tristezas mas eu amo viver minha vida."	1	2
1397	"Fui na casa do meu namorado hoje e ele tinha ido no mercado."	0	2
1398	"Portanto peço que ele seja muito feliz para onde for que seja lá prospero."	1	2
1399	"Conta uma velha lenda dos índios Sioux que, uma vez, Touro Bravo, o mais valente e honrado de todos os jovens guerreiros, e Nuvem Azul, a filha do cacique, uma das mais formosas mulheres da tribo, chegaram de mãos dadas, até a tenda do velho feiticeiro da tribo."	1	2
1400	"Nós nos amamos, e vamos nos casar."	1	3
1401	"E o velho emocionado ao vê-los tão jovens, tão apaixonados e tão ansiosos por uma palavra."	1	3
1402	"Os jovens abraçaram-se com ternura, e logo partiram para cumprir a missão recomendada."	1	2
1403	"No dia estabelecido, à frente da tenda do feiticeiro, os dois esperavam com as aves dentro de um saco."	0	3
1404	"O velho pediu que com cuidado as tirassem dos sacos e viu que eram verdadeiramente formosos exemplares."	0	3
1405	"Achei que a melhor forma de me expressar contar minhas vitórias e derrotas as coisas certas e erradas que eu fiz tinha que ser no computador."	0	3
1406	"Fico pensando preciso ir ao um psicólogo, pois ele sim eu sei que eu posso confiar pois ele guarda aquilo tudo com ele para ter uma renda."	0	3
1408	"O amor que sinto por você é incondicional."	1	3
1409	"De noites perfeitas de amor, você me fez ver o que é realmente o amor."	1	3
1410	"Me amou sempre quando eu mais precisei, sempre me apoiou."	1	3
1411	"Sorte que ELE (namorado) me ligou , o tempo passou bem rápido, conversamos a beça , estamos bem agora."	1	3
1412	"Tentei dormir na varanda , estava tão bom , sabe , olhando a lua."	1	3
1413	"E ele me acalmo, e agora já esta ficando tudo bem."	1	3
1414	"O Senhor conhece e sonda o meu coração, sabe o que penso, o que sinto."	0	2
1415	"Sabe o quanto eu amo o Diego, e que jamais faria algo de ruim pra ele."	1	3
1416	"E eu gravo isso, Deus abençoa minha sogra, de paz a ela."	1	3
1417	"Gostei do querido diário é um site muito legal as pessoas expressam os seus sentimentos."	1	3
1418	"Eu tenho 15 anos moro no Rio e o que eu mais gosto é de ficar na internet."	0	2
