id	frase	0	0
1521	"Os verdadeiros amigos são anjos!"	1	2
1522	"Descobri essa irrefutável verdade ao perceber o quanto são raras essas preciosidades que chegam de repente na vida da gente e se alojam devagarzinho em local especial e essencial da nossa existência."	0	2
1523	"No decorrer dos anos, encontramos vários tipos de anjos."	0	2
1524	"Alguns são leves e divertidos, nos mostram a alegria da vida."	1	2
1525	"Alguns esbarram na gente numa esquina qualquer, sem avisar e nos dão carinhos reais, sorrisos reais, proteção real."	1	3
1526	"O importante é tentarmos, ao longo das nossas vidas, termos sempre algum anjo com o qual possamos contar nas horas difíceis para nos dar alento."	1	2
1527	"Tenho percebido como minha vida tem mudado de uns anos pra cá e como eu mudei."	0	2
1528	"Sou seletiva em minhas amizades."	0	3
1529	"Tudo que é diferente incomoda o igual."	0	3
1530	"Hoje ganhei da minha mãe um escapulário, e ele tem uma mensagem de Deus em um dos quadradinhos."	0	2
1531	"Atualmente estou em um relacionamento homossexual."	0	2
1532	"Hoje iniciei o dia conversando com o Gabriel, o mais novo aqui da obra nova em que eu sou uma das responsáveis."	0	3
1533	"Mas ele é lindo, aquele sorriso, a forma como fala comigo é muito fofo."	1	3
1534	"Mandei um e-mail para o meu colega na quarta feira passada, dizendo que se ele estivesse disponível eu estava precisando conversar."	0	3
1535	"Não quero que me juguem, me xinguem ou coisa parecida quero apenas que me compreendam!"	-1	2
