id	frase	0	0
1063	"Foda-se regrinhas sociais, não preciso ser perfeito pra ngm, sou feliz do jeito que eu sou!"	-1	2
1064	"Vai tomar no cú pra quem não gosta de mim, você acha que eu dependo da tua amizade?"	-1	3
1065	"Não preciso te dar satisfações pra onde eu vou ou o que eu vou fazer, nem essa tua vida de merda me preocupa."	-1	3
1066	"EU não to nem ai pra pra nada, pra ninguém, foda-se, estou feliz do jeito que eu sou!"	-1	2
1067	"Correr pela rua, voltar pra casa toda suja de terra, brincadeiras de pique-esconde , policia e ladrão, pique-pega."	1	3
1068	"Sinto falta das brincadeiras de boneca , de assistir chiquititas na tv , e ouvir sandy e junior."	1	3
1069	"Brincar de acampamento na casa do meu avô , e das comidas estranhas que ele fazia !"	1	3
1070	"Época em que só se ia pra escola pra brincar."	1	3
1071	"Brincar de comidinha com as vizinhas !"	1	3
1072	"Ir pra casa do melhor amigo/irmão só pra ver tv , e tomar banho na piscina de 1000 litros dele."	1	2
1073	"Brincar de golzinho com meu irmão mais velho ."	1	2
1074	"Nos dias de chuva ou quando tinha pesadelo ,... ir correndo pra cama dos meus pais , ou dormir do lado da cama dele e fazer meu pai dormir a noite toda com a mão em cima de mim , se não não conseguia dormir ."	0	3
1075	"Meu avô , me ensinando o dever de casa e tentando arrancar meu dente mole."	0	2
1076	"Amizades de escola eram verdadeiras."	1	3
1077	"Declarações de amizade e dos desenhos doidos no caderno de escola."	1	2
1078	"Basta saber viver, saber ser livre , amar e ser amado , saber fazer e ser feliz !"	1	3
1079	"Os que desprezam os pequenos acontecimentos nunca farão grandes descobertas, pequenos momentos mudam grandes rotas."	0	2
1080	"Mais uma vez eu to aqui me lamentando, eu estou arrasada, meu marido ele mentiu pra mim, ele criou um perfil no facebook escondido de mim, adicionou várias mulheres, inclusive ex-namoradas."	-1	3
1081	"Eu passei a noite toda acordada, chorei muito, pensei mais ainda, porém, não conseguir chegar a uma conclusão eu quero largar tudo e ir embora."	-1	3
1082	"Voltar a morar com meus pais e passar uma borracha na minha historia com ele."	0	2
1083	"Só q tenho medo de não conseguir, de me arrepender, to aflita sem saber o que pensar, queria muito desabafar com uma amiga mas eu não tenho."	-1	3
1084	"O que ele fez pra mim foi uma traição está me doendo muito."	-1	3
1085	"Hoje meu namorado vai pra um aniversário, geralmente ele vem na minha casa todo santo sábado."	0	3
1086	"Ele está triste e eu estou triste."	-1	3
1087	"Na verdade eu nem queria ter acordado hoje."	-1	3
1088	"A mentira mata, mas a dúvida tortura."	-1	3
1089	"Meus amigos vieram aqui pra casa fazer um rodizio de pizza , bem legal , comi demais , vimos filme , e eles estão dormindo aqui em casa agora."	1	3
1090	"Amo meu namorado , passamos por tantas coisas juntos e ele é sem duvida o melhor namorado que alguém pode querer."	1	3
