"ParticipantMD5"	"GeneroCod"	"frase"	"Value"	"duracao"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Ele provavelmente vai falar comigo, pelo facebook."	"neutra"	"22.544"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Há 5 anos perdi meu motivo, minha esperança, perdi minha vontade de viver."	"negativa"	"3.687"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Falei para minha mãe que ia tomar sorvete com alguns amigos imaginários, a sorveteria fica perto da casa dele e um pouco longe da minha, no contrato inicial, ele tinha proposto tomar um sorvete e a segunda parte eu tinha que escolher."	"neutra"	"9.224"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Minha mãe teve uma briga daquelas comigo por causa dos horários de sono."	"neutra"	"2.773"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Amizades de escola eram verdadeiras."	"neutra"	"4.462"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Mas meu marido é Materialista, Mal Humorado, digo quase Bi POLAR, um bom pai sim, mas não um bom marido."	"negativa"	"7.312"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Entre risadas, brincadeiras, estava muito legal."	"neutra"	"1.894"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Mas lembro perfeitamente em que ele me contou que gostava muito de mim."	"positiva"	"3.999"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Lembro do sorriso que você abria quando me via, das explicações que você dava quando não conseguia telefonar."	"positiva"	"3.783"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	" Ela fica jogando na minha cara que eu não sei fazer nada, e ai eu fico com isso na cabeça, e me deixa mais impotente ainda. "	"negativa"	"5.829"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Ele já me traiu uma outra vez e eu perdoei, ele esta agindo igual a outra vez, me tratando com a maior frieza."	"negativa"	"4.048"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Meu dia foi bom, acordei cedo, ajudei minhas mãe e meu pai a arrumarem minha festinha, busquei minhas amigas, comi muito churrasco e bolo, ficamos um tempo de boa."	"positiva"	"7.545"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Você realmente foi muito amigo construindo esta ponte mesmo depois do que eu lhe disse, de repente, num só impulso, o irmão mais velho correu na direção do outro e abraçaram-se"	"positiva"	"10.713"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Ultimamente brigo com a minha mãe TODOS os dias, agente briga por tudo, ontem mesmo estava brigando com a minha irmã mais nova a Bruna, por ter mexido nas minhas coisas, e minha mãe já brigou comigo."	"negativa"	"10.743"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	" A história fala de três amigas gordinhas, que um dia , se cansam de ser como são, se cansam de ver os olhares de gozo das outras pessoas, se cansam de não poder fazer o que as outras mulheres fazem, se cansam de ser umas badochas."	"neutra"	"13.931"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Ele me completa quando você sente que falta algo em você mas você nunca soube o que era e ai você acha alguém que te entede e todo meio oposto que você e ai você se sente completa."	"neutra"	"11.802"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Pensei muito hoje em tudo que voces falaram pra mim."	"neutra"	"1.901"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Nunca transamos, mas acho que tá mais perto que longe."	"neutra"	"2.466"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"O que começou com um pequeno mal entendido, finalmente explodiu numa troca de palavras ríspidas, seguidas por semanas de total silêncio."	"negativa"	"5.333"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Não desista de suas escolhas e de seus sonhos nunca!"	"positiva"	"2.893"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Época em que só se ia pra escola pra brincar."	"positiva"	"3.847"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Me imagino visitando minha família nos fim de semanas e ouvindo as besteiras que meu pai fala e sempre vai falar."	"positiva"	"7.105"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Minha família nunca ligou para o que acontece ou deixa de acontecer comigo."	"negativa"	"2.641"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Daqui a pouco ninguém mais vai querer me chamar pros grupos, se eu continuar mal assim."	"negativa"	"4.534"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Mas aí ela começou a falar que eu gostava dele e por fim, elogiou os olhos verdes."	"neutra"	"3.41"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Eles não pensam como garotas. Então, não os trate como amigas."	"neutra"	"4.518"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Não porque não possa me apaixonar novamente mas porque sempre que eu desejar uma pessoa, essa pessoa será você!"	"neutra"	"9.636"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Bom, trabalhamos na mesma empresa, porém, em setores diferentes, ela loira, cabelo longo, uma delicia."	"neutra"	"4.399"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Por incrível que pareça aquilo me deixava mais forte."	"neutra"	"4.483"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Não posso me prender a amigos que sei que não estarão comigo como dizem que vão."	"neutra"	"5.966"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Meu namorado e eu então nos desentendemos por telefone e eu comecei a chorar."	"neutra"	"2.51"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Fui muito infantil, o pior que continuo sendo, não sou mais uma garotinha, poxa sou uma mulher, tem coisas que não consigo evitar."	"neutra"	"10.478"
