"ParticipantMD5"	"GeneroCod"	"frase"	"Value"	"duracao"
"bdf066947686ab2cd01768f202816430"	"f"	"O velho pediu que com cuidado as tirassem dos sacos e viu que eram verdadeiramente formosos exemplares."	"neutra"	"2.122"
"bdf066947686ab2cd01768f202816430"	"f"	"Já pensou como as coisas seriam mais fáceis se parássemos de construir cercas e muros e passássemos a construir pontes com nossos familiares, amigos, colegas do trabalho e principalmente nossos inimigos."	"positiva"	"6.639"
"bdf066947686ab2cd01768f202816430"	"f"	"ste é o conselho que deixo pra vocês: SE VALORIZEM, TODOS TEM UMA ALMA GÊMEA!"	"neutra"	"10.123"
"bdf066947686ab2cd01768f202816430"	"f"	"Tipo, semana passada eu fiz o cabelo dela, pois eu faço curso de cabeleireiro, então tenho que treinar, mas claro que uma escova e chapinha, sei fazer perfeitamente."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Minha cabeça e meu coração tinham ficado tão acelerados, que eu sempre esperava ele para poder gozar."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"O Diego, por sua vez, ao invés de ser um namorado presente, que me apoia, que me aconselha e que tenta entender meu lado e me ajudar, só sabe me julgar e brigar comigo por conta disso."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"E por falar nisso, segunda que vem começam minhas aulas na faculdade."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Eu me recordo sempre daquele seu sorriso, quando eu chegava triste, eu me sentia abraçado por ele."	"positiva"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Saí no sábado para o chá de panela da minha prima que logo vai se casar."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Vivos, alegres e comunicativos, estes seres geminianos, leves e desencanados, parecem estar sempre bem com todos."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"O amor que sinto por você é incondicional."	"positiva"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Em relação ao nosso filho ele não mudou em nada sempre cumpriu com o papel que assumiu perfeitamente um ótimo pai disso jamais me queixaria."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Ele agora ta com essa de ficar me controlando."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	" Mas é que pra mim é tão dificil conseguir te agradar."	"negativa"	""
"bdf066947686ab2cd01768f202816430"	"f"	"SÓ QUE ELE COMECOU A DESVIAR O OLHAR DA TV PRA MIM, EU FINGIA QUE NÃO VIA E CONTINUAVA FOCADA NA TV."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Afinal, para mim, que sempre levei vida de esposa fiel, tudo eram novidade, e novidade sempre atraem as mulheres."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Na verdade acho que consegui expressar de forma clara o que eu estava sentindo."	"positiva"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Não fiquei surpresa e nada demais."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Já esqueço totalmente de onde estou, e deixo de me importar com as pessoas ao redor, quando estou com ele, é como se só existisse nós dois ali."	"positiva"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Quando achei que teria paz, meus irmãos mais velhos eram muito agressivos, eles batiam por qualquer coisa, alias batiam não, espancavam, uma vez meu irmão deu um chute na minha barriga, que eu fiquei menstruando por quase dez dias."	"negativa"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Olhar disfarçadamente pra uma mulher bonita é natural, qual a mulher que não sabe que um homem bonito passou por ela também?"	"positiva"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Atitude de uma tola apaixonada."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Vou jantar, ficar com o menino mais lindo do mundo."	"positiva"	""
"bdf066947686ab2cd01768f202816430"	"f"	"QUE VOCÊ TRAGA CONSIGO,O AMOR , A SABEDORIA , A PAZ , A CALMA E O ESPIRITO DE JUSTIÇA."	"positiva"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Só que eu não aguentei isso, ser tratada como amiga na frente dos outros pra depois quando estávamos a sós ter qualquer tipo de toque."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Estou tendo um relacionamento com uma pessoa do local de trabalho, sim trabalhamos na mesma empresa mas em locais distintos, descreve-lo é falar de um homem alto, com uma voz que te faz ficar toda molhadinha, sim é uma voz que dispensa comentários."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"E o pior de tudo é q eu nuca fui de falar muito com os meninos e também eu não me considero uma pessoa muito bonita."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"E nada vai mudar as coisas que você me disse, nada vai fazer 'a gente' dar certo denovo."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Nossa como você esta magra, bonita. Vamos sair para comprar calças, sempre faço isso com sua irmã, acho que podemos fazer."	"positiva"	""
"bdf066947686ab2cd01768f202816430"	"f"	"PUTA QUE PARIU DE NOVO, ela foi chamada na diretoria, deu os nomes de todo mundo que estava no jogo, e todas foram chamadas, uma a uma como se fosse na delegacia."	"negativa"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Você jurou também, que perdoaria os meus erros e os meus defeitos, que qualquer deslize que eu tenha tido, você perdoaria, pois o bem que lhe fizera, supriria qualquer dor."	"negativa"	""
"bdf066947686ab2cd01768f202816430"	"f"	"O importante é tentarmos, ao longo das nossas vidas, termos sempre algum anjo com o qual possamos contar nas horas difíceis para nos dar alento."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"E não, não foi o remédio, porque ele demora muito pra fazer efeito, não é assim de uma hora pra outra."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Quero te dar todo o meu amor."	"positiva"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Confesso que gostei muito de ficar com ela, foi muito bom, mas sai fora achei que ela não iria querer me ver outras vezes."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Entregando-nos demais, acreditando e sempre sofremos com isso."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Tive uma crise de choro enquanto fazia sexo com meu namorado, acusando ele de não me amar, de me tratar como um objeto e pra ele não tocar mais em mim."	"negativa"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Coisas materiais podem ser jogadas fora."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Me acariciava com tanta vontade, com tanto tesão."	"positiva"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Depois disso ficávamos de vez em quando, escondidos, para ninguém mais atrapalhar."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"É um nojo, ai eu peguei o ônibus da empresa e quando subi ele tiro um braço da blusa sabe e depois ia tirar o resto da camisa."	"negativa"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Olá , quem nunca sofreu por amor ou paixão?"	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Eu cortei o cabelo, pintei, cortei, mudei minhas roupas, minha maquiagem, meus gostos."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Sinceramente, sem você, eu já estaria morta."	"negativa"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Passei o final de semana inteiro fazendo um vídeo para o meu namorado para esse dia fora o conjunto de roupa intima novo que eu comprei para hoje."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Vou aprender a viver sem você, e se Deus quiser eu também vou ser feliz."	"positiva"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Seu lado do armário está vazio e eu não preenchi."	"positiva"	""
"bdf066947686ab2cd01768f202816430"	"f"	"A janela não está com suas dezenas de xampus."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Eu me sinto muito suja, então eu entrei molhei o meu corpo, passei a mão no sabonete que estava na minha mesa, porque eu havia comprado para conhecer a mãe dele."	"negativa"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Eu vejo que a chuva cai de acordo com minhas lágrimas , eu vejo que o dia está horrível e vejo a consequência em meu corpo."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Quando for pedi-la em namoro, não fique bancando o difícil que isso não funciona com garotas tímidas, seja direto, converse com ela chegando exatamente ao ponto importante."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Hoje fui dormir 9h da manhã porque eu tinha ido dormir na casa do meu namorado sem meus pais saberem."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Ao olhar novamente para a ponte viu o seu irmão se aproximando de braços abertos."	"positiva"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Essa tia apesar de me dar de tudo era um demônio, ela gritava comigo, deixava os outros parentes me maltratar e bater, as vezes me batia, me deixava de castigo em lugares onde eu morria de medo, enfim ela era e é uma bruxa falsa, nojenta e ruim."	"negativa"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Ele conversava virado para mim com a mão no encosto do meu banco e, estranhamente comecei a sentir bem ficar ali com ele."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Obrigada Deus por fazer tudo isso pra mim."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Minha mãe só liga para pedir as coisas para mim, ela não é capaz de vir me visitar, de ser presente em minha vida, quando vem em minha casa só fica reclamando da vida para eu me comover e dar dinheiro."	"negativa"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Todos nós temos o dever de contemplar a luz que existe em cada um."	"positiva"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Bom fiz uma pesquisa com alguns meninos e ele disseram que garotas que falam gírias é normal, mas falar um monte é estranho."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Tudo vai ficar bem! Chegarei mais cedo hoje, vou preparar o macarrão que tanto você gosta, quer tomar alguma coisa, dormiu sem comer nada."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"De tudo, guarda o teu coração, pois é dele é que procedem as águas da vida."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Fui me arrumar na casa de uma amiga minha e iria me beber na casa da minha melhor amiga."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Estou com uma vontade imensa de me bater de tanto ódio que eu estou de mim."	"negativa"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Ontem discuti com minha irmã mais velha, ela é muito chata e metida."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Sempre de noite e tenho medo, pavor e nunca durmo no escuro aqui tem uma luz pequena que fica acesa, na minha noite de núpcias quero fazer na claridade."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"A noite, eu chorei."	"negativa"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Pode achar que eu sou maluca, eu gostei de um garoto que conheci na internet."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"E eu fico me sentindo como se fosse uma vagabunda qualquer também, que nem elas - quem sou eu pra chamar alguém de vagabunda mesmo?"	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Ele me deu um grande abraço, um beijo e disse que me amava, abri um sorriso."	"positiva"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Ele me receitou zolpidem, um hipnótico, pra me ajudar a dormir."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Quem já namoro e nunca teve uma saudades do ex, que atire a primeira pedra."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Mas agora antes de terminar, estou me sentindo estranho, acho que acabei gostando dela, do jeito dela de cuidar de mim, de querer que eu esteja sempre com ela, o jeito dela de sentir ciúmes, e de sempre querer eu perto dela, de sempre dizer que esta com saudade, de ela não se importar de nas folgas dela passar comigo trancada em um quarto conversando, para ser sincero , vou sentir falta dela."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Tudo que é diferente incomoda o igual."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Sim sou uma patricinha !"	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Ele desliga o celular de madrugada e no outro dia diz que acabou a bateria."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Minha mãe é muito legal, tem jeito de adolescente e cabeça de mulher.. está sempre bem humorada, quando vamos em festas ela dança, agita, contagia a todos."	"positiva"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Sabe, eu passei grande parte da minha vida me preocupando com tudo, angustiado, triste e deprimido."	"negativa"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Só de imaginar a gente ficando, da vontade de vomitar."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Guardei todas na minha memória, não as esquecerei jamais."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Eu parei no estacionamento de uma feira do bairro Santo Antônio em Manaus e lá começamos a nos agarrar com vontade."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Queria compartilhar com vocês sobre o meu namoro, e dizer o que muitos já me disseram."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Meu amor e eu, nascemos um para o outro. Só falta quem nos apresentem."	"positiva"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Ódio, eu nao tenho por você, nem pelo meu pai mesmo ele sendo ausente."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Conta uma velha lenda dos índios Sioux que, uma vez, Touro Bravo, o mais valente e honrado de todos os jovens guerreiros, e Nuvem Azul, a filha do cacique, uma das mais formosas mulheres da tribo, chegaram de mãos dadas, até a tenda do velho feiticeiro da tribo."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Tem tantas situações boas e ruins que envolvem amor e paixão, que não há como descrever todas."	"neutra"	""
"bdf066947686ab2cd01768f202816430"	"f"	"Assim que cheguei, Penélope estava esperando."	"neutra"	""
