"ParticipantMD5"	"GeneroCod"	"frase"	"Value"	"duracao"
"bc2584302fffead698e1809107a60040"	"m"	"Já são mais de 5 anos que sofro deste mal, perdi muito e venho perdendo cada dia mais, hoje foi um daqueles dias em que pensei em suicídio, mas novamente decidi continuar tentando."	"negativa"	"73.202"
"bc2584302fffead698e1809107a60040"	"m"	"Ja estou no limite para chegar a cima do peso."	"negativa"	"2.94"
"bc2584302fffead698e1809107a60040"	"m"	"Comprei meu livro."	"neutra"	"1.464"
"bc2584302fffead698e1809107a60040"	"m"	"Confesso que aquilo me dava um prazer quase que desconhecido, era uma delicia sentir nossas línguas se encostando enquanto ele apertava meus seios."	"positiva"	"5.582"
"bc2584302fffead698e1809107a60040"	"m"	"Mais uma vez eu to aqui me lamentando, eu estou arrasada, meu marido ele mentiu pra mim, ele criou um perfil no facebook escondido de mim, adicionou várias mulheres, inclusive ex-namoradas."	"negativa"	"4.07"
"bc2584302fffead698e1809107a60040"	"m"	"Ela me fala coisas e depois diz que não falou, me chama de mentirosa."	"negativa"	"1.697"
"bc2584302fffead698e1809107a60040"	"m"	"Eles brigaram e ela terminou com ele."	"negativa"	"1.237"
"bc2584302fffead698e1809107a60040"	"m"	"Ganhei um notebook novo."	"positiva"	"1.753"
"bc2584302fffead698e1809107a60040"	"m"	"Depois de uma hora consegui, peguei meu buzão e um engarrafamento horrível."	"negativa"	"2.86"
"bc2584302fffead698e1809107a60040"	"m"	"Vejo muitas garotas sofrendo por garotinhos que não dão a minima para elas, então pra ganharem atenção fingem ser algo que não são. "	"negativa"	"5.911"
"bc2584302fffead698e1809107a60040"	"m"	"Eu já estava acostumada por saber que muitos garotos já declaravam pra mim."	"positiva"	"2.865"
"bc2584302fffead698e1809107a60040"	"m"	"E quantas vezes já choramos por a pessoa que não merece uma gota da nossa lagrima, corremos atrás dele e não enxergamos a verdade, e muitas vezes não queremos enxerga ela, por que a verdade dói e machuca muita."	"negativa"	"3.488"
"bc2584302fffead698e1809107a60040"	"m"	"Já me fiz essa pergunta e voltei três vezes e hoje o sofrimento é mil vezes maior."	"negativa"	"2.886"
"bc2584302fffead698e1809107a60040"	"m"	"A vida nos foi dada gratuitamente."	"positiva"	"2.511"
"bc2584302fffead698e1809107a60040"	"m"	"Passando então esses 3 horários, chegou o intervalo, encontrei de novo meu namorado, descemos juntos e fomos para ao pátio sentar com de costume no mesmo lugar que sentamos todos os dias."	"neutra"	"14.463"
