"ParticipantMD5"	"GeneroCod"	"frase"	"Value"	"duracao"
"bc2584302fffead698e1809107a60040"	"m"	"Eu particularmente não vou ligar se ele falar que só me quer como amiga, tá de boa, mas eu só não quero que ele me trate pior."	"negativa"	"4.673"
"bc2584302fffead698e1809107a60040"	"m"	"Amiga, acabei de ver a foto da Miih com o namorado no seu orkut, não me leve a mal, mas ele já deve ser bem mais velho que ela"	"negativa"	"4.63"
"bc2584302fffead698e1809107a60040"	"m"	"Deus colocará uma pessoa boa em minha vida, que dará todo o amor que eu preciso e quando eu formar minha família eu terei o amparo que nunca tive."	"positiva"	"2.088"
"bc2584302fffead698e1809107a60040"	"m"	"Eu achava que algumas coisas tão banais, eram mais importantes."	"neutra"	"2.678"
"bc2584302fffead698e1809107a60040"	"m"	"No dia estabelecido, à frente da tenda do feiticeiro, os dois esperavam com as aves dentro de um saco."	"neutra"	"4.792"
"bc2584302fffead698e1809107a60040"	"m"	"Já falei algumas coisas pra ela, mas é complicado falar do namorado alheio né?"	"neutra"	"2.519"
"bc2584302fffead698e1809107a60040"	"m"	"Tudo ia bem ele era do exercito não ganhava muito mais era o suficiente, com 2 anos de casados ele foi promovido a sargento e claro tudo ficou bem melhor financeiramente."	"positiva"	"5.848"
"bc2584302fffead698e1809107a60040"	"m"	"Acho que ele prefere você, e não a minha razão."	"negativa"	"5.766"
"bc2584302fffead698e1809107a60040"	"m"	"Sorte que ELE (namorado) me ligou , o tempo passou bem rápido, conversamos a beça , estamos bem agora."	"positiva"	"2.896"
"bc2584302fffead698e1809107a60040"	"m"	"Será que sou só eu, que nunca tive um namoradinho bonitinho e perfeitinho nem que fosse só por um mês ?"	"negativa"	"5.27"
"bc2584302fffead698e1809107a60040"	"m"	"Ao contrário, gostaria de estar sempre ao seu lado para te amar e te dar muito carinho."	"positiva"	"3.054"
"bc2584302fffead698e1809107a60040"	"m"	"Eu já vinha recebendo vários sinais de que não era ele, mas não tinha percebido, e só agora depois disso, parei para olhar a minha volta e vi que não é ele o meu cara."	"negativa"	"3.248"
"bc2584302fffead698e1809107a60040"	"m"	"Mas foi tranquilo. Deitei e dormi feito um bebê, das duas vezes que eu tomei."	"neutra"	"4.539"
"bc2584302fffead698e1809107a60040"	"m"	"Pelo menos as matérias da faculdade vão ser mais legaizinhas e mais a ver com o curso."	"positiva"	"2.786"
"bc2584302fffead698e1809107a60040"	"m"	"Minha mãe aconselhou um dia que quando eu tivesse um grande amor eu deveria lutar por ele e foi oque eu fiz."	"positiva"	"3.967"
"bc2584302fffead698e1809107a60040"	"m"	"E espero que me compreenda, porque não pedi pra me apaixonar, pois quem manda na gente é o coração."	"positiva"	"3.142"
"bc2584302fffead698e1809107a60040"	"m"	"Esta noite a lua está tão linda, tão perfeita, uma obra prima de Deus."	"positiva"	"2.016"
"bc2584302fffead698e1809107a60040"	"m"	"Eu me sinto fraca e sufocada pelo meu próprio coração."	"negativa"	"2.12"
"bc2584302fffead698e1809107a60040"	"m"	"Te Amar ao ver o sol nascer pela manhã"	"positiva"	"1.575"
"bc2584302fffead698e1809107a60040"	"m"	"E você merece amor melhor, você merece coisa melhor, um cara melhor."	"negativa"	"2.679"
"bc2584302fffead698e1809107a60040"	"m"	"Sei que a tristeza excessiva é devido aos efeitos da droga, sei que essa tristeza química vai passar, mas a tristeza real pela vida que levo, esta me acompanha todos os dias."	"negativa"	"4.446"
"bc2584302fffead698e1809107a60040"	"m"	"Fizemos tudo que um casal normalmente faz , namoramos , brincamos , rimos , e brincamos de um jeito diferente , nos olhamos , sorrimos , nos beijamos e sorrimos de novo."	"positiva"	"3.584"
"bc2584302fffead698e1809107a60040"	"m"	"Esperar é doloroso, esquecer é doloroso, mas não saber o que fazer é o pior tipo de sofrimento."	"negativa"	"2.704"
"bc2584302fffead698e1809107a60040"	"m"	"Não acaba uma batalha, a guerra vai continuar, a guerra é destruir as correntes que me separam das minhas aspirações, que me separam dos meus sonhos."	"negativa"	"7.661"
"bc2584302fffead698e1809107a60040"	"m"	"Declarações de amizade e dos desenhos doidos no caderno de escola."	"positiva"	"5.857"
"bc2584302fffead698e1809107a60040"	"m"	"Ele me levou pro quarto dele, e lá foi muito bom."	"positiva"	"1.367"
"bc2584302fffead698e1809107a60040"	"m"	"E agora a janela está sempre aberta como você sempre me pedia e nem percebi."	"positiva"	"2.654"
"bc2584302fffead698e1809107a60040"	"m"	"Sentou em cima de mim e se esfregava em mim gostoso."	"positiva"	"3.144"
"bc2584302fffead698e1809107a60040"	"m"	"É meu instrutor, tipo ele fica direto babando meu ovo cara, desde que chego até ir embora."	"negativa"	"24.774"
"bc2584302fffead698e1809107a60040"	"m"	"Meu pai me segurou pelo braço e queria me levar para tomar o remédio a essa hora eu já estava em uma crise de pânico e não conseguia parar de chorar e nem raciocinava mais."	"negativa"	"27.312"
"bc2584302fffead698e1809107a60040"	"m"	"Dai o tempo passou e ela passava na frente da loja que eu trabalho e a gente se olhava."	"neutra"	"3.695"
"bc2584302fffead698e1809107a60040"	"m"	"E ele não se importa se os pais dela não gostam."	"positiva"	"2.944"
"bc2584302fffead698e1809107a60040"	"m"	"Eu acredito nessa coisas, pode parecer besta pra algumas pessoas, mas pra mim não é."	"neutra"	"5.439"
