"ParticipantMD5"	"GeneroCod"	"frase"	"Value"	"duracao"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Descobri também que ele estava traindo minha mãe com minha tia."	"neutra"	"59.664"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Me lembro que eu comia muito na escola, para não ter que comer em casa, e tomava banho escondido, era muito triste."	"positiva"	"3.938"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"A aula de português estava chata."	"positiva"	"2.891"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Depositamos tanta confiança e tanto sentimento nas pessoas."	"neutra"	"3.617"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Quando li essa mensagem eu pensei vou ligar para ele e ver como ele está, e tenta adianta oq ele quer fala comigo."	"neutra"	"11.929"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Meu marido em 10 anos não consegue colocar nada pra dentro de casa as contas estão atrasadas a geladeira vazia, ele é preguiçoso!"	"negativa"	"5.824"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Hoje me senti muito só e ao invés de chorar, como sempre, me automutilei."	"negativa"	"6.14"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Quando eu tinha três anos fui morar na casa de uma tia, pois minha mãe não tinha condição de me criar."	"neutra"	"10.211"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Me prendo a memórias por que muitas delas não voltam, muitas pessoas mudaram, mas as memórias não."	"neutra"	"152.783"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"O pior e quando nos apegamos aquela pessoa e ela vai embora, sem saber que a que ficou esta cada vez, mas apaixonada, que não consegue imaginar sua vida sem ela, e falamos a vida segue, mas uma parte nossa ela leva com as pessoas que passam."	"neutra"	"5.57"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Mas sabe, é estranho pensar que isso seja natural, eu me sinto completamente mal por ele demonstrar interesse por outras, considero falta de respeito."	"neutra"	"5.224"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Ele me confidencia que você foi a boca que ele mais gostou de beijar."	"negativa"	"2.232"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Ontem a noite quando eu cheguei do curso e ia jantar eu senti uma dor daquelas que sempre sinto na perna minha perna paralisou a Fernanda me levou para a sala meu pai estava jantando, quando fui para a sala comecei a me tremer e a sentir uma tontura e um zunido no ouvido seguido de uma dormência nas mãos."	"negativa"	"5.294"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Mas não foi o que aconteceu e hoje em dia nem amigos somos mais uma amizade de mais de cinco anos acabou assim."	"positiva"	"4.347"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"E quando eu acordo, não passo o dia feito lesa."	"positiva"	"9.454"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Muitos acham que eu estou errada, e que estou falando inúmeras bobagens, ao dizer que existe um grande ódio presente em mim."	"negativa"	"4.862"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Fechei a porta, a Helen me olhava assustada, não disse nada só me direcionei para o banheiro, liguei o chuveiro, entrei com roupa e tudo, as lagrimas se misturavam com a água do chuveiro, a porta se abre."	"negativa"	"10.146"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"No armário sobrou uma coisa e não sei se é sua."	"positiva"	"5.852"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Fico pensando , como vai ser quando eu começar a fazer faculdade , me casar , ter filhos."	"positiva"	"10.063"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"E meu namorado estava de bermuda jeans, uma polo, e um tênis da oakley que o pé esquerdo esta sem cadarço, todo rasgado, sujo."	"neutra"	"7.494"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Ele meio que sugeriu que tenho personalidade borderline e espectro bipolar ( ciclotimia) enfim, nada que eu já não desconfiasse."	"positiva"	"4.787"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"A minha mãe disse que estou muito rebelde!"	"neutra"	"7.959"
