"ParticipantMD5"	"GeneroCod"	"frase"	"Value"	"duracao"
"bc2584302fffead698e1809107a60040"	"m"	"Porque não fazer ela feliz, já que ela também estava disposta a me fazer feliz."	"positiva"	""
"bc2584302fffead698e1809107a60040"	"m"	"Só quem sabe realmente, sou eu que estou vivendo, sentindo."	"neutra"	""
"bc2584302fffead698e1809107a60040"	"m"	"Nesse momento eu fico sem jeito, e a timidez toma conta de mim e quando me dou conta, já estou em seus braços."	"neutra"	""
"bc2584302fffead698e1809107a60040"	"m"	"Eu já não aguento mais ouvir desaforo, piada, jogando na minha cara coisas que ele fez por mim, e por isso resolvi ser garota de programa."	"negativa"	""
"bc2584302fffead698e1809107a60040"	"m"	"Meu namorado dormiu na minha casa."	"neutra"	""
"bc2584302fffead698e1809107a60040"	"m"	"Eu tenho alguns planos em minha mente, e tem um prazo para isso ser realizado."	"neutra"	""
"bc2584302fffead698e1809107a60040"	"m"	"Ao contrário, eu te amo muito! "	"positiva"	""
"bc2584302fffead698e1809107a60040"	"m"	"Aproveitei que já tinha acordado e liguei pro meu namorado pois a gente ia se ver de novo."	"positiva"	""
"bc2584302fffead698e1809107a60040"	"m"	"Sempre quando se faz aqueles rastreios na escola, sou sempre alertada porque estou abaixo e eu não gosto disso!"	"negativa"	""
"bc2584302fffead698e1809107a60040"	"m"	"Desde ontem a noite, minha mãe nem olha na minha cara e nem fala comigo."	"negativa"	""
"bc2584302fffead698e1809107a60040"	"m"	"Nossa ele era muito gentil e apaixonado cuidou do meu filho e de mim como um verdadeiro homem assumiu literalmente parece até que meu filho era filho biológico dele um pai perfeito como todos deveriam ser."	"positiva"	""
"bc2584302fffead698e1809107a60040"	"m"	"Ao voltar para casa da minha mãe com 13 anos, minha irmã mais velha estava em uma vida de drogas e de coisas erradas, ela me batia sempre, usava minhas roupas e deixava suja, emprestava para as amigas drogadas dela, me provocava de uma maneira que eu sentia vontade de sumir daquele inferno."	"negativa"	""
"bc2584302fffead698e1809107a60040"	"m"	"Nos dias de chuva ou quando tinha pesadelo , ir correndo pra cama dos meus pais , ou dormir do lado da cama dele e fazer meu pai dormir a noite toda com a mão em cima de mim , se não não conseguia dormir ."	"positiva"	""
"bc2584302fffead698e1809107a60040"	"m"	"É acreditar num mundo melhor."	"positiva"	""
"bc2584302fffead698e1809107a60040"	"m"	"Tem uma grande sensualidade e sabe como explora-la muito bem."	"positiva"	""
"bc2584302fffead698e1809107a60040"	"m"	"Brincar de comidinha com as vizinhas !"	"neutra"	""
"bc2584302fffead698e1809107a60040"	"m"	"E deixar alguém feliz vale mais do que saber da minha vida."	"positiva"	""
"bc2584302fffead698e1809107a60040"	"m"	"Quero que você enfie tua inveja e tua falsidade no cú."	"negativa"	""
"bc2584302fffead698e1809107a60040"	"m"	"Sem você eu me sinto sem asas, incapaz de voar."	"negativa"	""
"bc2584302fffead698e1809107a60040"	"m"	"Eu voltei a ser feliz e estou rindo muito de tudo que aconteceu."	"positiva"	""
"bc2584302fffead698e1809107a60040"	"m"	"Mas ele é lindo, aquele sorriso, a forma como fala comigo é muito fofo."	"positiva"	""
"bc2584302fffead698e1809107a60040"	"m"	"A noite estava chegando quando ouvi o batido na porta."	"neutra"	""
"bc2584302fffead698e1809107a60040"	"m"	"Fui na psiquiatra e ela me passou risperidona."	"neutra"	""
"bc2584302fffead698e1809107a60040"	"m"	"Ainda me lembro das vezes que você me olhava e dizia o medo que sentia de me perder."	"positiva"	""
"bc2584302fffead698e1809107a60040"	"m"	"Encontrarei alguém que realmente me faça feliz, talvez, Deus quer que ele seja somente meu amigo, o meu melhor amigo, aquele amigo do jardim de infância, Deus tem algo melhor pra mim."	"positiva"	""
"bc2584302fffead698e1809107a60040"	"m"	"Presta atenção rapaz, ela da risada das suas piadas mais idiotas."	"positiva"	""
"bc2584302fffead698e1809107a60040"	"m"	"Bem, o importante é que eu estou melhor."	"positiva"	""
"bc2584302fffead698e1809107a60040"	"m"	"Lá consegui me reaproximar da minha família e fazer com que a Helena se aproximasse também."	"positiva"	""
