id	frase	0	0
651	"Eu sou uma orgulhosa sim, não fico com todos (até porque isso é coisa de vadia), jogo bola, falo com quem fala comigo, também não sou de ter muitas amigas!"	-1	2
652	"Na minha escola é cheio de rockeiros e as patricinhas que tinham lá normalmente se tornaram umas vadias!"	-1	3
653	"Eu sou uma das únicas patricinhas de respeito, que curtem ler e que não são exemplos de putas."	-1	2
654	"Carnaval passado teve uma comemoração na escola, estavam todas as turmas reunidas, eu preferi ir ler um livro na biblioteca, lá estava o professor de músicas mais uns três alunos rockeiros também."	0	3
655	"Entrei, pedi licença e fui pegar um livro de romance!"	0	2
656	"Tinha um garoto que ficava direto me olhando e isso tava me incomodando."	-1	3
657	"Eu não me considero uma pessoa de sorte."	-1	3
658	"Também não me considero uma pessoa com sentimentos."	-1	2
660	"Mas, o maior deles, é o ódio."	-1	3
661	"Muitos acham que eu estou errada, e que estou falando inúmeras bobagens, ao dizer que existe um grande ódio presente em mim."	-1	3
662	"Mas estas pessoas são só inúmeros mortais que falam o que da na telha, literalmente, eles não sabem nada sobre mim, e muito menos, sobre o que eu penso."	-1	3
663	"Não que eu me considere uma imortal, para mim, todos tem o mesmo destino."	0	2
664	"Mas nos últimos tempos, vem acontecido coisas estranhas comigo."	-1	2
665	"Minha família nunca ligou para o que acontece ou deixa de acontecer comigo."	-1	3
666	"Alias ninguém nunca se importou em ao menos saber se eu estava bem, ou se estava precisando de ajuda."	-1	3
667	"Ninguém nunca se importou comigo."	-1	3
668	"Cartas de amor geralmente não começam assim, com explicações e motivos."	-1	2
669	"Mas não teria outro modo de escrever algo que sinto sem tentar explicar ou dar motivos mesmo que amar isente qualquer tipo de explicação e não requer motivos para acontecer."	0	2
670	"Penso que o amor surge não sei onde, cresce não sei porque e machuca sem querer você talvez seja minha única esperança... ou a última."	1	2
671	"Não porque não possa me apaixonar novamente mas porque sempre que eu desejar uma pessoa, essa pessoa será você!"	1	3
672	"Que estará em meus sonhos você é diferente!"	1	3
673	"É o único responsável pelo que sinto eu me entrego totalmente para você, se você assim quiser posso dar seu nome para alguma estrela ou dar esta estrela para você."	1	3
674	"Posso tentar parar o vento ou sentar na brisa da primavera posso tentar parar o sol ou fazer com que você tenha um dia perfeito posso tentar e fazer tantas coisas para você, menos que você me ame tanto quanto EU TE AMO."	1	3
675	"Bom se amar é pensar em você 24hs por dia, sair na rua pensando que posso cruzar com você a qualquer instante e fechar os olhos e ver seu rosto, pode até ser amor!"	1	3
676	"E todos os dias olharei para céu e agradecerei por ter te encontrado e por você ter sido mais do que eu esperava vou agradecer pelo seu olhar."	1	3
677	"Nesse terrível estado de depressão que eu me encontrava, não sabia mais o que fazer de tanto desespero, eu sentia uma dor inconsolável, doía muito, mais que tudo, ou quase tudo."	-1	3
678	"Achei uma solução, ou melhor, na minha cabeça era a única solução."	1	3
679	"Comecei a cortar meus pulsos a fim de trazer dor física e esquecer a dor emocional."	-1	3
680	"Por incrível que pareça aquilo me deixava mais forte."	1	3
681	"Minha amiga Laura, a mais burra e tapada de todas começou a se cortar no meio da sala de aula."	-1	3
682	"PUTA QUE PARIU DE NOVO, ela foi chamada na diretoria, deu os nomes de todo mundo que estava no jogo, e todas foram chamadas, uma a uma como se fosse na delegacia."	-1	3
683	"Ai descobriram que todas nós tínhamos nos cortado, pensaram que nos tínhamos feito alguma espécie de pacto.. chamaram nossos pais, mas só os da Laura e a minha mãe que foram lá e ficaram sabendo."	-1	3
684	"Meu fim de semana foi razoável, digamos que esperava um pouquinho mais."	0	3
685	"Ontem a noite meu namorado veio aqui em casa, não saímos, ficamos em casa mesmo."	0	3
686	"E como sempre rolou mais uma DR."	-1	3
687	"Mas dessa vez até que foi legal, conversamos bastante, acho que ele entendeu meu lado."	1	3
688	"Na verdade acho que consegui expressar de forma clara o que eu estava sentindo."	1	3
689	"Foi legal, depois de muita conversa ficamos namorando, incrível como aquele garoto tem o dom de me enlouquecer e ao mesmo tempo me fazer feliz."	1	3
690	"Os momentos ao seu lado são sempre tão perfeitos sabe."	1	3
691	"Quando me beija é como se milhões de luzes brilhassem no meu mundo, sinto-me flutuando em seus braços."	1	3
692	"Quando me abraça sinto-me protegida."	1	3
693	"Como se nenhum problema externo pudesse nos atingir!"	1	3
694	"Tenho certeza que isso se chama AMOR."	1	3
695	"E é incrível como esse sentimento me faz bem e mal ao mesmo tempo."	0	2
696	"Hoje me senti muito só e ao invés de chorar, como sempre, me automutilei."	-1	2
697	"Me bati muito, e mordi a mim mesma 3 vezes."	-1	3
698	"Não recomendo isso a ninguém, mas não consigo pensar em outra coisa a fazer quanto estiver triste, pois meus amigos e familiares não entendem que eu fico triste sem motivo e irão me chamar de besta e se eu contar para alguém que me automutilei irão me chamar de doente, porque é isso que o ser humano faz, julga um ao outro."	-1	3
699	"A vida nos foi dada gratuitamente."	1	2
700	"O poder de reação está dentro de cada um de nós."	0	2
701	"Para ser feliz não existe poção mágica."	0	2
