id	frase	0	0
702	"É preciso somente que se tenha a alma limpa e desprovida de mágoas e rancores."	0	2
703	"Cada um é livre para cumprir a sua missão da maneira que desejar."	1	2
704	"A Felicidade está sempre batendo a nossa porta, basta abri-la e convidá-la a entrar."	1	3
705	"Sempre teremos almas iluminadas nos estendendo a mão."	1	3
706	"Vivos, alegres e comunicativos, estes seres geminianos, leves e desencanados, parecem estar sempre bem com todos."	1	2
707	"Simpáticos como eles só, sempre darão a impressão que estão se interessando por alguém, mas só estão conversando e buscando informações."	-1	2
708	"Os geminianos sempre são muito expressivos e falam muito com as mãos, sempre contando fatos que lhes aconteceram com muita vivacidade."	1	2
709	"Seu andar é meio saltitante e alegre, e sempre fazem várias coisas ao mesmo tempo, como estudar vendo TV e falando ao telefone enquanto conversam com você."	1	3
710	"Na realidade não é que estão seguindo a moda: eles estão sempre na moda."	1	3
711	"Sou bem organizada, paranoica, tenho nojo de quase tudo."	-1	3
712	"Adoro crianças, e as vezes me pareço muito com elas, adoro brincar, pular, enfim... bagunça, adoro coisas alegres e diferentes."	1	3
713	"A verdade é que sou intensa demais e não há quem dê jeito nisso."	-1	2
714	"Vibro com alegrias que não me pertecem."	1	3
715	"O bom de tudo é que, toda noite antes de dormir, eu oro."	1	3
716	"E sempre sorrio!"	1	3
717	"A saudade é a maior prova de que o passado valeu a pena."	1	3
718	"De verdade, eu não tenho ânimo pra me arrumar, pra cuidar de mim, os pensamentos ruins tomam conta da minha cabeça e eu entro em estado de desespero."	-1	3
719	"Eu emprestei o dinheiro para o meu pai e sinceramente, me arrependo muito disso."	-1	3
720	"O Diego me mandou embora, não quis mais saber de mim, minha mãe virou as costas pra mim, eu só tinha meu pai e ele me pedindo pra tirar o dinheiro no banco, fazendo a maior pressão psicológica, eu não ia tirar?"	-1	3
721	"Se bem, que agora não tá diferente, porque de todo jeito ele tá comigo por piedade."	-1	3
722	"Agora estou aqui com meus cartões todos tendo que ser parcelados (vou pagar o triplo do valor por conta dos juros), sem nenhum centavo e ainda por cima com o Diego brigando comigo e jogando na minha cara todos os dias que eu sou burra e emprestei o dinheiro pro meu pai."	-1	3
723	"Ele não entende porque ele nunca teve que passar por uma dificuldade assim, mas eu tenho certeza que se fosse a mãe dele no lugar do meu pai, ele teria feito o mesmo."	-1	3
724	"O Diego, por sua vez, ao invés de ser um namorado presente, que me apoia, que me aconselha e que tenta entender meu lado e me ajudar, só sabe me julgar e brigar comigo por conta disso."	-1	3
725	"Ontem, eu estava com a minha melhor amiga na sala de aula, eu cheguei atrasada e conversei um pouco com a minha melhor amiga."	1	2
726	"Ai chegou aquela doida que te falei naquele dia que eu paguei mico e que ela não me deixava conversar com a minha melhor amiga."	-1	2
727	"Ai a doida falou com ela e nem entendi a conversa delas mas acabei ficando calada."	0	2
728	"A aula de português estava chata."	-1	3
729	"Horas foram passando, fomos pra sala de vídeo, era aula de educação de física, que droga!"	-1	3
730	"Eu queria ter ido pra quadra mas a professora queria que a gente ficasse na sala de vídeo e ver o filme chato."	-1	3
731	"Você me prometeu, eu sei, eu me lembro, você jurou que ia ser pra sempre."	-1	2
732	"Você jurou também, que perdoaria os meus erros e os meus defeitos, que qualquer deslize que eu tenha tido, você perdoaria, pois o bem que lhe fizera, supriria qualquer dor."	-1	2
733	"Me perdoa, eu cometi erros imperdoáveis, assim como já perdoei, eu cometi deslizes exagerados, e não foi a primeira vez, eu menti por medo da sua reação, por medo de que você me abandonasse, lutei tanto ao lado desse medo, que de nada me adiantou, o medo só fez com que eu te perdesse."	-1	3
734	"Eu não consigo mais esconder a tristeza, e as lágrimas já tomaram conta dos meus olhos."	-1	3
735	"Estou sem chão, sem rumo, sem sonhos."	-1	3
736	"Me encontro vazia, sem esperança e depois de tudo o que eu te fiz, sem coragem pra pedir que fique comigo."	-1	3
737	"Eu te amo tanto, eu queria que você soubesse disso, que você percebesse os meus atos de amor, carinho, dedicação que demonstrei a ti."	1	2739	"Eu penso no futuro porque isso vai ser bom pra mim e pra todos que eu amo."	1	3
739 "Eu penso no futuro porque isso vai ser bom pra mim e pra todos que eu amo."	1	3
740	"Eu vou me formar, trabalhar farei o possível para manter a paz em minha casa."	1	3
741	"Eu não pretendo me comprometer seriamente com ninguém."	-1	2
742	"Pensamos diferentes, temos objetivos diferentes."	0	2
743	"Venho de família em que o Pai sempre sustentou a casa para criar os filhos, enquanto minha mãe ficava em casa cuidando da gente."	0	2
744	"Não tivemos tudo, mas o essencial para nos tornarmos adultos responsável!"	1	2
745	"Eu tenho vários amigos, sou uma pessoa extrovertida, feliz, adoro ver as pessoas felizes ao meu redor, prezo muita pela Saúde, pois se tivermos ela, o resto corremos atrás."	1	3
746	"Mas meu marido é Materialista, Mal Humorado, digo quase Bi POLAR,... um bom pai sim, mas não um bom marido."	-1	3
747	"Não tem muitos amigos, e acaba sendo até muitas vezes egoísta, se precisar, passa por cima de alguém para ganhar algo."	-1	3
748	"Para mim as coisas mais simples da vida são as melhores, eu adoro visitas."	1	3
751	"E deixar alguém feliz vale mais do que saber da minha vida."	1	3
752	"Eu estou muito feliz com a aprovação, mesmo sabendo que não foi merecida de verdade."	1	3
753	"Mas dessa vez acabou tudo bem, depois de tanta dor e tanto sofrimento pelas circunstâncias, tudo acabou, bem."	1	3
754	"E isso me afetou muito, fiquei totalmente bravo."	-1	3
