id	frase	0	0
188	"Todos os momentos que eu estou perdendo com você."	-1	3
189	"Eu me sinto fraca e sufocada pelo meu próprio coração."	-1	3
190	"Acho que ele prefere você, e não a minha razão."	-1	2
191	"Sem você eu me sinto sem asas, incapaz de voar."	-1	3
192	"Uma amiga minha já tinha consciência de que eu gostava do meu amigo."	0	3
193	"Hoje, na véspera de feriado, ela estava, por coincidência, no mesmo grupo que ele, e resolveu perguntar se ele gostava de mim, mas ele disse que só como amiga."	0	3
194	"Mas aí ela começou a falar que eu gostava dele e por fim, elogiou os olhos verdes."	0	2
195	"Esse garoto não é metido, é super gente boa, mas de uns tempos pra cá eu me apaixonei por ele."	1	2
196	"Ele provavelmente vai falar comigo, pelo facebook."	0	2
197	"Será que ele vai começar a me analisar?"	0	3
198	"Eu particularmente não vou ligar se ele falar que só me quer como amiga, tá de boa, mas eu só não quero que ele me trate pior."	-1	2
199	"Ainda mais que tudo que tá acontecendo ultimamente está me levando pra perto dele."	0	2
200	"Gente eu tenho 13 anos e eu nunca beijei em toda a minha VIDA."	0	2
201	"E o pior de tudo é q eu nuca fui de falar muito com os meninos e também eu não me considero uma pessoa muito bonita."	-1	3
202	"Eu era uma criança muito tímida, me lembro que a turma inteira fazia bagunça e eu ficava ali no canto, sozinho sem conversar com ninguém."	-1	2
203	"Sempre foi bem difícil eu me enturmar com as pessoas."	-1	3
204	"A miserável vida do Paulo Anderson."	-1	3
205	"Quantas tristezas e decepções eu já passei nessa vida não é mesmo, ainda bem que eu escrevo só pra mim mesmo, pois só eu mesmo sei de tudo que eu já passei, nunca quis compartilhar minha merda de vida com ninguém."	-1	3
206	"Minha vida é um sofrimento interno e eterno."	-1	3
207	"Nunca passei fome e nem tive doença, agradeço a Deus por ter meus dois olhos,"	1	3
208	"Me refugiei dentro da umbanda com meus guias e guias dos outros."	0	2
209	"Foram tantas dificuldades, tantos mistérios, tantas perguntas sem explicação."	-1	3
210	"Já perdi as contas de quantos modos eu já tentei descobri a verdade."	0	2
211	"Terreiros errados, guias errados, falta de educação com as pessoas, responsabilidade, falta de atitude, falta de sorte, falta de sair de casa, falta de correr atrás, punheta excessiva, cartas, tarô, trabalhos de aberturas."	-1	3
212	"Em quantos motivos eu já pensei para ser a razão do meu sofrimento, e até hoje eu não havia encontrado a resposta!"	-1	2
