id	frase	0	0
600	"Os meninos tentavam acordar o homem de todas as formas de nada de homem acordar, entao eu decidi eu mesma acordar o sujeito."	0	2
601	"Mexi nele, balancei ele, revirei ele e nada do homem acordar, até que quando eu vi uma garrafa perto da cabeça dele decidir pegar ela e derramar o liquido que estava dentro dela na cabeça do homem, foi ai que ele acordou."	0	2
602	"Minha mãe teve uma briga daquelas comigo por causa dos horários de sono."	-1	3
603	"Ai a chorona aqui passou a noite chorando, até ficar de olhos inchados."	-1	3
604	"Pensando que o único meio de meus pais não brigarem comigo seria morrendo mesmo, ai não iria incomodar ninguém."	-1	3
605	"Tomei mais um comprimido de antidepressivo (normalmente só tomo dois) e fui escutar música."	-1	3
606	"Depois de um tempo, estava eu dançando alegremente, como se nada estivesse acontecido."	1	3
607	"E foi assim até 5 da manhã, quando eu finalmente resolvi ir dormir."	0	3
608	"E não, não foi o remédio, porque ele demora muito pra fazer efeito, não é assim de uma hora pra outra."	0	2
609	"Bem, o importante é que eu estou melhor."	1	3
610	"Hoje marquei uma consulta no ginecologista."	0	2
611	"Nunca transamos, mas acho que tá mais perto que longe."	1	2
612	"Eu sou virgem, ou pelo menos nunca tive penetração."	0	2
613	"A única coisa que fizemos foi sexo oral, ele em mim."	0	3
614	"Às vezes me sinto meio mal por ser tão dependente dos outros, não saber fazer nada sozinha."	-1	3
615	"Fico com inveja dos meus amigos que resolvem tudo sozinhos, sabem ir pra todos os lugares, e numa boa."	-1	3
616	"Os horários da universidade estavam péssimos."	-1	3
617	"Ela fica jogando na minha cara que eu não sei fazer nada, e ai eu fico com isso na cabeça, e me deixa mais impotente ainda."	-1	3
618	"Briguei com ele e eu exclui tudo mas na outra semana vi mais e mais desenhos pornôs."	-1	3
619	"Ai gente não gosto disso, sei la acho uma falta de respeito comigo!"	-1	3
620	"Mas ela é muito especial ela é a minha melhor amiga."	1	3
621	"Com o final do período na faculdade, fiquei péssima."	-1	3
622	"Era seminário, prova e trabalho tudo junto, eu tava pra ficar louca mesmo, ainda mais eu, que detesto falar em público."	-1	3
623	"Não tenho jeito mesmo, gaguejo, esqueço, o escambau."	-1	3
624	"Teve uma matéria que eu atingi o limite de faltas; outra que passei pescando; teve um trabalho que eu nem sequer vi a cor, mas botaram meu nome; nos seminários me salvava por causa dos outros."	-1	3
625	"Teve um que em cima da hora eu desisti e comecei a chorar, mas eu falei com a professora e ela me passou um trabalho alternativo enorme, pra eu não ficar com zero."	-1	3
626	"Me sinto super mal de todo mundo apresentar bem e eu apresentar mal."	-1	3
627	"Como é pública, o nível é bem elevado."	1	2
628	"E meu complexo de inferioridade só aumenta nesses casos."	-1	3
629	"Meu psicólogo me perguntou se eu queria uma segunda opinião (tanto pra ver a questão da medicação quanto pra ver se eu realmente tinha TPB-personalidade borderline) e eu concordei."	0	2
630	"Fui na psiquiatra e ela me passou risperidona."	0	2
631 "Eu decidi aceitar, porque eu estava terrível mesmo (ainda to, mas pelo menos agora que eu entrei de férias deu pra dar uma aliviada)." -1 3
632 "Sempre fui muito perfeccionista, gosto sempre de dar o melhor de mim, principalmente no quesito desempenho intelectual." 1 3
633 "Quero compensar o que minhas colegas da faculdade fizeram por mim." 1 2
634 "Daqui a pouco ninguém mais vai querer me chamar pros grupos, se eu continuar mal assim." -1 3
635	"Quero dirigir carro, ser independente, ser uma psicóloga bem sucedida."	1	2
636	"Pelo menos as matérias da faculdade vão ser mais legaizinhas e mais a ver com o curso."	1	3
637	"No sábado, dia 28 de julho, foi um sábado maravilhoso."	1	3
638	"Conheci um rapaz, gentil, bonito e engraçado."	1	3
640	"Talvez que eu o conheci duas ou mais semanas atras, não lembro."	0	3
641	"Mas lembro perfeitamente em que ele me contou que gostava muito de mim."	1	3
642	"Não fiquei surpresa e nada demais."	0	3
643	"Eu já estava acostumada por saber que muitos garotos já declaravam pra mim."	1	2
644	"Pior é que eu gostei dele também."	1	2
645	"Pode achar que eu sou maluca, eu gostei de um garoto que conheci na internet."	1	2
646	"Eu já cansei de correr atrás de quem não merece, agora se quiser que venha atrás de mim, você sabe onde me procurar e onde me encontrar."	-1	2
647	"Eles não pensam como garotas. Então, não os trate como \"amigas\"."	-1	2
648	"Homens são naturalmente territoriais, são ciumentos e caçadores!"	-1	3
649	"Foi só piscar o olho, que eu me apaixonei enfim, e no meio da fumaça, ele também gosto de mim."	1	3
650	"Sim sou uma patricinha!"	0	2
