id	frase	0	0
391	"E nada vai mudar as coisas que você me disse, nada vai fazer 'a gente' dar certo denovo."	-1	3
392	"Mas mãe, por favor, não abra mão de mim assim."	-1	2
393	"Eu não consigo acreditar que é tao difícil conversar com voce, com a minha própria mãe."	-1	3
394	"Ontem [domingo] não deu para escrever aqui pois estava muito ""ocupada""."	0	3
395	"Saí no sábado para o chá de panela da minha prima que logo vai se casar."	0	3
396	"Foi eu, minha irmã, namorado, pai e mãe."	0	3
398	"Meu namorado dormiu na minha casa."	0	2
399	"Eu divido o quarto com a minha irmã, então ficou eu na minha cama, ele no colchão (no chão do meu lado) e minha irmã na cama dela que é logo do lado (pertinho)."	0	2
400	"Chegamos da festa e fomos logo ""dormir"", minha irmã foi a primeira a cair no sono, enquanto eu e meu namorado ficamos de mãos dadas (ele deitado e eu também... e conversando baixinho)."	0	2
401	"Até que de repente minha irmã levanta e começa a chorar que nem uma louca."	-1	3
402	"No final das contas, ela acabou indo dormir com o meu pai, e minha mãe na cama dela (da minha irmã)."	0	2
403	"Minha mãe é muito legal, tem jeito de adolescente e cabeça de mulher.. está sempre bem humorada, quando vamos em festas ela dança, agita, contagia a todos."	1	3
404	"O relacionamento dela com o meu namorado é ótimo, os dois brincam e eu amo isso."	1	3
405	"Aí ele me abraçou, me beijou e a gente ficou enrolando e conversando um pouco e depois dormimos."	1	3
406	"Sou muito frienta, quando eu estava na minha cama, eu peguei 3 cobertas e estava de blusa de frio."	0	3
407	"Foi só ele me abraçar que eu também comecei a sentir calor e tirei a blusa de frio."	1	2
409	"Quando acordei, meu namorado estava com a mão na minha cintura, me abraçando, e com a cabeça perto do meu cabelo."	1	3
410	"Diz ele que levantou antes de mim, e ficou beijando meu rosto, e eu nem mexia de tanto sono."	1	2
411	"Levantamos e fomos comprar cerveja para a minha mãe."	0	3
412	"Depois de um tempo, deitamos no sofá (já era de tarde) pois ele queria ver o tal jogo que ia passar na tv."	0	3
413	"Quando acordei ele me abraçou, me beijou me chamando de preguiçosa e falou ""te amo"" Ele é lindo demais."	1	3
414	"Ficamos o resto do dia garradinhos, combinamos de ir no shopping para ele pagar uma conta, mais quem disse que a preguiça deixou?"	1	2
415	"Então é isso, fico por aqui, hoje estou muito feliz e com saudade dele já, a gente é grudento do nosso jeito, e eu amo isso."	1	3
416	"É muito bom ter uma pessoa que você ama ao lado."	1	3
417	"Fora que acordar com um eu te amo, torna o dia maravilhoso e feliz."	1	3
418	"Enfim, Boa Noite, e gostaria de agradecer aos comentários do assunto anterior."	1	3
419	"Bom tudo começou em Abril do ano passado quando minha mãe começou a namorar um homem que eu nem sei da onde que apareceu, bom eles estavam namorando a uma semana e ele já tava morando dentro da mi.nha casa"	0	2
420	"No dia do aniversário dele eu vi ele escondendo drogas dentro do meu quarto, e eu fui lá e contei pra minha mãe."	-1	3
421	"Eles brigaram e ela terminou com ele."	-1	3
422	"Mas então as 5 da manha eu acordo com a minha mãe gritando e pedindo socorro , ele tinha entrado dentro de casa e tava tentando matar ela."	-1	3
423	"Já não bastava o fato de ter um bandido em casa, ele não deixava mais minha mãe falar comigo ele não desgrudava dela."	-1	3
424	"E nessa música ele começa a falar algumas coisas sobre o amor, e eu acho simplesmente lindo tudo oque ele fala!"	1	3
425	"Uma sensação de fracasso tomou conta de mim, tristeza, desânimo e um total desalento pela vida."	-1	3
426	"Sinto minha vida tão bagunçada, vejo meus sonhos morrendo, minha vida tomar direção contrária aquilo que imaginei um dia."	-1	3
427	"Porque será que nunca consegui me sentir completa?"	-1	3
428	"Meu coração hoje se encontra dilacerado."	-1	3
429	"Cheguei no trabalho hoje tão desanimada, vejo tanta coisa pra fazer mas não tenho estímulo, fico revoltada quando penso que me esforço tanto para dar o melhor de mim nessa empresa e as pessoas indiretamente atrapalham o meu trabalho"	-1	3
430	"Em casa as coisas vão de mal a pior, a situação do meu irmão e da minha cunhada se arrasta, causando um sofrimento enorme pra minha família."	-1	3
431	"Fico pensando o que eles estão esperando para se separar e acabar logo de vez com esse sofrimento."	-1	3
432	"É estranho o modo como ainda penso nele, tenho vontade de ligar pra ele."	0	3
433	"Fui muito infantil, o pior que continuo sendo, não sou mais uma garotinha, poxa sou uma mulher, tem coisas que não consigo evitar."	-1	3
434	"Vejo muitas garotas sofrendo por garotinhos que não dão a minima para elas, então pra ganharem atenção fingem ser algo que não são." 	-1	3
435	"Acho isso ridículo, intendam se ele não gosta de você agora ,nem adianta minha filha, aliás adianta sim, se você ter uma bunda enoorme e um peito grande, ele pode até pensar em se interessar por você."	-1	3
436	"Mas também não adianta tu querer colocar um decote, e um short enfiado no cú, garotas desse tipo só são vistas como objeto sexual."	-1	3
437	"Bom fiz uma pesquisa com alguns meninos e ele disseram que garotas que falam gírias é normal, mas falar um monte é estranho."	-1	2
438	"O caso é não fica atrás dele, sei que é difícil não demonstrar o que sente, mas pode ter certeza, eles não dão tanto valor a garotas que ficam atrás deles, enchendo o saco o tempo todo."	-1	2
439	"Se ele puxar assunto quer dizer que ele gosta de falar com você, mas se caso você puxa assunto, e ele te responde com frases curtas ou demora pra responder e vem com desculpinhas pedindo desculpa pela demora, quer dizer que você tá enchendo a paciência dele e ele só te responde por educação."	0	3
440	"Antes de mandar, primeiro vê como foi o rumo entre os dois no dia."	0	3
441	"Quando o ver de umas olhadas pra ele, (mas sem disfarçar) no começo ele não vai intender, mas o encare por 1 segundo, e depois delicadamente mexa no cabelo olhando para outro lugar."	0	3
442	"Assim ele vai tentar querer saber oque você quer."	0	3
