id	frase	0	0
1013	"Conheci meu namorado no dia do meu aniversário de 19 anos, nós fazíamos curso técnico na mesma escola técnica, e uma amiga em comum nos apresentou."	0	3
1014	"Como eu já havia quebrado a cara em um outro relacionamento (aliás, em quase todos) nem dei muita bola, mas depois o conheci melhor e comecei a gostar dele."	0	2
1015	"Atualmente eu estou com 20 anos, e ele vai fazer 29 em Abril, prefiro caras mais velhos, sou feliz com ele e é o que importa."	1	3
1016	"Uma certa vez, eu tinha menos de 1 mês de namoro quando minha sobrinha nasceu, e meu namorado foi no hospital conhece-la e aproveitar e conhecer uma parte de minha família, que por sinal o adora."	1	2
1017	"Minha mãe tirou uma foto minha com ele, com minha sobrinha e com nossa amiga(a que nos apresentou) que trabalha com ele, ela tem 42 anos."	0	2
1018	"Dai minha mãe foi pra casa e eu fui pro curso com meu namorado e nossa amiga, quando eu cheguei mãe me disse que tinha postado a foto no orkut dela."	0	3
1019	"Amiga, acabei de ver a foto da Miih com o namorado no seu orkut, não me leve a mal, mas ele já deve ser bem mais velho que ela"	-1	2
1020	"Essa pessoa que postou isso tem 56 ANOS e ERA CASADA NA ÉPOCA COM UM CARA DE 24 ANOS."	-1	2
1021	"Eu fiquei POSSESSA!"	1	3
1022	"Eu quase xingo aquela mulher de cima abaixo, é muita falta de respeito, quem é ela pra criticar meu namorado?"	-1	3
1023	"Nada contra, claro, mas as pessoas deveriam se enxergar mais, pelo menos eu acho."	-1	2
1024	"Dai passou o tempo ,e eu entrei na faculdade federal(hj estudo em uma particular ,assunto pra mais tarde) e logo de cara fiz amizade com a turma."	1	2
1025	"Uma colega pegou meu celular e viu minha foto com meu namorado."	0	3
1026	"Meu namorado não parece ser tão mais velho do que eu não, mas isso me chateia, porque o amor não depende da idade."	-1	2
1027	"Se ele tivesse 50 anos e eu o amasse, eu ficaria com ele sem nenhum problema"	0	2
1028	"Eu fico chateada, óbvio que não abala o meu namoro esses comentários ridículos, mas eu acho que o ser humano deve ser menos indiscreto e ter mais consideração com os outros."	-1	3
1029	"Ultimamente brigo com a minha mãe TODOS os dias, agente briga por tudo, ontem mesmo estava brigando com a minha irmã mais nova a Bruna, por ter mexido nas minhas coisas, e minha mãe já brigou comigo."	-1	3
1030	"A minha mãe disse que estou muito rebelde!"	-1	3
1031	"Mas acho que é porque estou chegando na adolescência e todos ficam assim nessa fase da vida."	0	3
1032	"5 anos sem a pessoa que mais me importa nesse mundo."	-1	3
1033	"Há 5 anos perdi meu motivo, minha esperança, perdi minha vontade de viver."	-1	3
1034	"Mas infelizmente não tenho ela, e continuo viva, então tenho que viver, mesmo sem ela."	-1	3
1035	"Continuo, por ela e com ela."	1	2
1036	"Amo-a mais que tudo nessa vida, então, eu amo a minha vida."	1	3
1037	"Devo erguer a cabeça e seguir, pois sei que ela quer mesmo isso, que eu siga meus sonhos, que eu seja alguém."	1	3
1038	"E pode ter certeza, mãe, vou lhe dá muito orgulho."	1	3"
1039	"Você sabia que o menino que mais vai te dar valor é aquele que não consegue chegar em você, aquele que olha pra você e quando você percebe abaixa a cabeça ou sorri, que não consegue olhar olho no olho, e ao conversar contigo fica sorrindo igual um bobo, e muitas vezes acaba falando algumas coisas nada haver, um tanto idiotas, mas você sabia que ele faz isso porque está querendo tirar um sorriso do seu rosto?"	1	2
1040	"E porque ele é muito envergonhado pra dar em cima de você, é timidez."	-1	2
1041	"Você sabia que esses meninos que mal te dão oi, tem as palavras mais verdadeiras a serem ditas a você ao pé do ouvido."	1	3
1042	"Eles só esperam um dia conseguir dizer, uma oportunidade, uma chance."	1	2
1043	"Então, porque você garota não para de se interessar por aquele menino que tem coragem de chegar em você logo falando da sua aparência, olhando seu corpo e elogiando tentando te ganhar pelo que você é por fora."	0	2
1044	"Porque o mesmo garoto que tem coragem de chegar para falar com você, tem coragem o suficiente pra ir falar com outra menina minutos depois, e repetir as mesmas palavras pra chegar onde ele quer."	0	2"
1045	"Enquanto o garoto tímido passa horas ensaiando alguma coisa pra dizer quando lhe ver, e fica lembrando do seu sorriso, seu olhar, até seu jeito de falar, cada expressão sua."	1	3
1046	"O garoto que não tem coragem de chegar em você, tem admirado você a muito tempo de longe, e te conhece bem mais do que você imagina, e muito mais ainda do que o com atitude diz conhecer."	1	2
1047	"Minhas amigas descobriram por que me pegaram a força e tiraram meu casaco pra ver o que eu tanto escondia."	-1	2
1048	"Mas eu só tenho esse jeito de expressar o que eu sinto."	0	2
1049	"Hoje estou muito tranquilo, muito mesmo."	1	3
1050	"Sabe, eu passei grande parte da minha vida me preocupando com tudo, angustiado, triste e deprimido."	-1	3
1051	"Pensava em seguir as regras, fazer papel de bom garoto, me preocupava com o que os outros estavam pensando de mim."	0	2
