id	frase	0	0
137	"Apesar de ser tarja vermelha,... não vou poder usar ele mais do que dois meses, por causa da dependência."	0	2
139	"Passei um bom tempo refletindo se iria tomar ou não, como se aquilo fosse um veneno ou algo do tipo."	0	2
140	"Eu e meu medo de tomar remédios novos, com medo de me dar alguma reação colateral ou algo do gênero."	-1	3
141	"Mas foi tranquilo. Deitei e dormi feito um bebê, das duas vezes que eu tomei."	1	3
142	"E quando eu acordo, não passo o dia feito lesa."	1	2
143	"Acordo bem mais disposta."	1	3
144	"Amei o remédio até agora."	1	3
145	"Semana passada transei com meu namorado na casa dele."	0	2
146	"Ele, como eu previa, não tinha camisinha, e eu me recusei a transar daquele jeito."	-1	2
147	"Aí ele disse que a gente fazia outro dia."	0	3
148	"Eu insisti e eu mesma fui comprar a camisinha na farmácia."	0	3
149	"Fiquei meio constrangida, mas valeu a pena."	0	2
150	"De vez em quando temos nossas briguinhas, mas eu amo ele."	1	2
151	"Sei la, é uma relação estranha."	-1	2
152	"Eu mudo muito meus sentimentos em relação a ele."	0	3
153	"Ás vezes parece que eu não sinto nada por ele, quando a gente briga."	-1	2
154	"Mas tem hora que parece que vou explodir de tanto amor."	1	2
155	"E ele percebe isso, como eu fico fria com a menor briguinha."	-1	2
156	"Quanto aos sintomas do TOC, continuam bem chatinhos."	-1	2
157	"O pensamento'eu quero me matar' aparece com muita frequência."	-1	2
158	"E já até andei me machucando de levinho novamente, apesar de nunca ter parado, a rigor."	-1	3
159	"Grito dezenas de vezes durante o dia."	-1	2
160	"A compulsão por doces continua, me dá uma aliviada momentânea."	1	2
161	"Até cheirar cola já pensei em fazer, na verdade foi uma coisa mais simbólica do meu desespero, sabia que não ia adiantar em nada."	-1	2
162	"E foi daquelas colas de isopor mesmo, e já tava sequinha."	0	2
163	"Mas apesar de todas essas coisas, às vezes esqueço de tudo que to passando e me sinto tão bem."	1	2
164	"O antidepressivo tem sua parcela de contribuição, mas não é só ele."	0	2
165	"Não acho minha vida uma desgraça, apesar do TOC, autoestima baixa, ansiedade, insônia, pânico, problemas familiares."	0	2
166	"E por falar nisso, segunda que vem começam minhas aulas na faculdade."	0	3
167	"As matérias são chatinhas, mas pelo menos a carga horária é menor."	0	3
168	"A maioria das aulas são de manhã, ou seja, tenho que acordar cedo."	0	2
169	"Por um lado vai ser bom porque não vou ter que escutar minha mãe gritando no trânsito, o que ja ajuda muito."	1	3
170	"Hoje prestes a fazer 30 anos, resolvi por um fim nas minhas gordurinhas e levantar a minha autoestima."	1	2
171	"Tenho a estatura de 1,57 cm e 60 kg."	0	3
172	"Ja estou no limite para chegar a cima do peso."	0	2
173	"Oi Querido Diário, estava com saudades de você, não estava escrevendo muito aqui porque minhas férias estavam sendo o maior tédio e eu não tinha muito o que escrever, mas agora começaram as aulas e eu vou voltar a escrever!"	0	3
174	"Bom meu primeiro dia de aula ja começou com dois professores novos."	0	3
175	"No primeiro horário Ricardo, com matemática e geometria, ja no segundo Kairton com gramática, interpretação e redação."	0	3
176	"Na aula do Ricardo nós revisamos algumas coisas do ano passado e ele passou um dever de casa, eu gostei dele, ele é engraçado!"	1	3
177	"Na aula do Kairton revisamos também, porém a parte que eu mais gostei foi quando nós fomos avaliar a música."	1	3
178	"Nós fomos avaliar a música que era aquela música da Legião Urbana, Pais e Filhos, nossa super amo essa música."	1	3
179	"Eu ouvi tudo e fiquei muito orgulhosa de mim mesma!"	1	3
180	"E oba, ele ja decorou meu nome, aquela chata da Aline ficou morrendo de inveja, eu to gostando dos professores novos, e principalmente o Kairton."	1	3
181	"Não, agora você tá ótima!"	1	3
182	"Pois bem, eu vi ele, ele me viu, mas não falou comigo."	0	2
183	"Não vou falar da tragédia de Santa Maria,... pois só em pensar me da vontade de chorar, bom vou terminar agora, depois da escola eu venho contar mais!"	-1	3
184	"Parece que sempre sigo o caminho mais complicado, estou cansada de ser tudo tao dramático."	-1	3
185	"Meu mundo, meus dramas."	-1	2
186	"Ver vc sair poderia ter sido mais um, mas nao é isso o que está acontecendo."	0	3
187	"Penso em você o tempo inteiro, e meu coração doi ao imaginar o que você está fazendo."	-1	3
